version 2020-09-28			
Data_field	Code	Beskrivning/Svensk översättning	Description/English translate
QFLAG	Z	Nollvärde per definition (t.ex. syrehalt när svavelväte påvisas).	Zero value per definition (ex. oxygen levels or hydrogen sulfid detected).
REFSK	AEPAM11	CEFAS Science Series Aquatic Environment Protection: Analytical Methods Number 11. Methods for analysis for trace metals in marine and other samples. MAFF 1994	CEFAS Science Series Aquatic Environment Protection: Analytical Methods Number 11. Methods for analysis for trace metals in marine and other samples. MAFF 1994
REFSK	EPA 6020	EPA - Inductively Coupled Plasma - Mass Spectrometry	EPA - Inductively Coupled Plasma - Mass Spectrometry
REFSK	HC-C-C2	Helcom COMBINE Manual - Part C Annex C2	Helcom COMBINE Manual - Part C Annex C2
REFSK	HC-C-C4	Helcom COMBINE Manual - Part C Annex C4	Helcom COMBINE Manual - Part C Annex C4
REFSK	HC-C-C5	Helcom COMBINE Manual - Part C Annex C5	Helcom COMBINE Manual - Part C Annex C5
REFSK	HC-C-C6	Helcom COMBINE Manual - Part C Annex C6	Helcom COMBINE Manual - Part C Annex C6
REFSK	HC-C-C7	Helcom COMBINE Manual - Part C Annex C7	Helcom COMBINE Manual - Part C Annex C7
REFSK	HC-C-C8	Helcom COMBINE Manual - Part C Annex C8	Helcom COMBINE Manual - Part C Annex C8
REFSK	HC-C-C9	Helcom COMBINE Manual - Part C Annex C9	Helcom COMBINE Manual - Part C Annex C9
REFSK	HC-C-C11	Helcom COMBINE Manual - Part C Annex C11	Helcom COMBINE Manual - Part C Annex C11
REFSK	HC-D	Helcom COMBINE Manual - Part D	Helcom COMBINE Manual - Part D
REFSK	ISO15586:2003	ISO standard 15586:2003 Water quality - Determination of trace elements using atomic absorption spectometry with graphite furnace.	ISO standard 15586:2003 Water quality - Determination of trace elements using atomic absorption spectometry with graphite furnace.
REFSK	ISO6468:1996	ISO standard 6468:1996 Water analysis - Determination hexachlorocyclohexane (Isomers and lindane included).	ISO standard 6468:1996 Water analysis - Determination hexachlorocyclohexane (Isomers and lindane included).
REFSK	ISO7027:1999	ISO standard 7027:1999 Water quality - Determination of turbidity	ISO standard 7027:1999 Water quality - Determination of turbidity
REFSK	ISO7887:1994	ISO standard 7887:1994 Water quality. Examination and determination of colour	ISO standard 7887:1994 Water quality. Examination and determination of colour
REFSK	ISO5667-9:1992	ISO standard 5667:1992 Water quality- sampling. Part 9: Guidance on sampling from marine waters	ISO standard 5667:1992 Water quality- sampling. Part 9: Guidance on sampling from marine waters
REFSK	NMKL 131	NMKL No. 131, 1989: Fat. Determination according to SBR in meat and meat products.	NMKL No. 131, 1989: Fat. Determination according to SBR in meat and meat products.
REFSK	OGTA3	OSPAR Guidelines Technical Annex 3 for TBT-specific biological effects monitoring	OSPAR Guidelines Technical Annex 3 for TBT-specific biological effects monitoring
REFSK	R1	Hartmann-Schröder, G. (1996): Die Tierwelt Deutschlands und der angrenzenden Meeresteile. 58. Annelida, Borstenwürmer, Polychaeta. 2nd Ed. VEB Gustav Fischer Verlag, Jena	Hartmann-Schröder, G. (1996): Die Tierwelt Deutschlands und der angrenzenden Meeresteile. 58. Annelida, Borstenwürmer, Polychaeta. 2nd Ed. VEB Gustav Fischer Verlag, Jena
REFSK	R2	Smedes, F. 1999. Determination of total lipid using non-chlorinated solvents. The Analyst, 124:1711-1718	Smedes, F. 1999. Determination of total lipid using non-chlorinated solvents. The Analyst, 124:1711-1718
REFSK	R3	M.Hoenig et. al., Solid suspension technique, J. Anal.Atom.Spec.4(1989), 631	M.Hoenig et. al., Solid suspension technique, J. Anal.Atom.Spec.4(1989), 631
REFSK	R4	Bligh & Dyer method	Bligh & Dyer method
REFSK	R5	Soxhlet method	Soxhlet method
REFSK	R6	Smedes method	Smedes method
REFSK	R7	The GEEP Workshop: organic chemical analyses Mar. Ecol. Prog. Ser. Vol. 46:19:26, J. Klungsøyr, S. Wilhelmsen, K. Westrheim, E. Sætvedt, K. Palmork 1988	The GEEP Workshop: organic chemical analyses Mar. Ecol. Prog. Ser. Vol. 46:19:26, J. Klungsøyr, S. Wilhelmsen, K. Westrheim, E. Sætvedt, K. Palmork 1988
REFSK	R8	Appl. Organometallic Chem. Vol 11 1997: Organotin Speciation in Environmental Samples by Capillary GC & PFPD. Jacobsen	Appl. Organometallic Chem. Vol 11 1997: Organotin Speciation in Environmental Samples by Capillary GC & PFPD. Jacobsen
REFSK	SS 028150-2	Swedish Standard for Cd, Cu, Pb, Zn	Swedish Standard for Cd, Cu, Pb, Zn
REFSK	SS 028175-1 mod	Swedish Standard for Mercury	Swedish Standard for Mercury
REFSK	SS-EN 11465	Swedish Standard for Dry matter analysis	Swedish Standard for Dry matter analysis
REFSK	SS 028170-1		Determination of chlorophyll a in water - Extraction with methanol - Spectrophotometric method
REFSK	SS 028146	Vattenundersökningar - Bestämning av klorofyll i vatten - Extraktion med aceton - Spektrofotometrisk metod	Determination of chlorophyll in water - Extraction with acetone - Spectrophotometric method
REFSK	SS 028146-1	Vattenundersökningar - Bestämning av klorofyll i vatten - Extraktion med aceton - Spektrofotometrisk metod	Determination of chlorophyll in water - Extraction with acetone - Spectrophotometric method
REFSK	SS 028146-1 mod	Vattenundersökningar - Bestämning av klorofyll i vatten - Extraktion med aceton - Spektrofotometrisk metod	Determination of chlorophyll in water - Extraction with acetone - Spectrophotometric method
REFSK	SS 028146-2	Vattenundersökningar - Bestämning av klorofyll i vatten - Extraktion med aceton - Spektrofotometrisk metod	Determination of chlorophyll in water - Extraction with acetone - Spectrophotometric method
REFSK	SS 028146-3	Vattenundersökningar - Bestämning av klorofyll i vatten - Extraktion med aceton - Spektrofotometrisk metod	Determination of chlorophyll in water - Extraction with acetone - Spectrophotometric method
REFSK	SS 028146-4	Vattenundersökningar - Bestämning av klorofyll i vatten - Extraktion med aceton - Spektrofotometrisk metod	Determination of chlorophyll in water - Extraction with acetone - Spectrophotometric method
REFSK	T1	Vattenundersökningar - Bestämning av klorofyll a i vatten - Extraktion med metanol - Spektrofotometrisk metod	Times No. 1 Cadmium and lead: determination in organic matrices with electrothermal furnace atomic absorption spectrophotometry.
REFSK	T10	Times No. 10 Organic halogens: determination in marine media of adsorbable, volaltile, or extractable compund totals	Times No. 10 Organic halogens: determination in marine media of adsorbable, volaltile, or extractable compund totals
REFSK	T11	Times No. 11 Oyster (Crassostrea gigas) embryo bioassy	Times No. 11 Oyster (Crassostrea gigas) embryo bioassy
REFSK	T12	Times No. 12 Review of methods for analysis in sea water, biota, and sediment	Times No. 12 Review of methods for analysis in sea water, biota, and sediment
REFSK	T13	Times No. 13 Microplate method for measurement of ethoxyresorufin-O-deethylase (EROD) in fish	Times No. 13 Microplate method for measurement of ethoxyresorufin-O-deethylase (EROD) in fish
REFSK	T19	Times No. 19 Common diseases & parastites of fish in the North Atlantic: Training guide for identification	Times No. 19 Common diseases & parastites of fish in the North Atlantic: Training guide for identification
REFSK	T2	Times No. 2 Trace metals in sea water: sampling and storage methods.	Times No. 2 Trace metals in sea water: sampling and storage methods.
REFSK	T21	Times No. 21 Chlorobiphenyls in marine sediments: Guidelines for determination	Times No. 21 Chlorobiphenyls in marine sediments: Guidelines for determination
REFSK	T22	Times No. 22 Biological effects of contaminants: Cholinesterase inhibition by organophosphate and carbamate compounds.	Times No. 22 Biological effects of contaminants: Cholinesterase inhibition by organophosphate and carbamate compounds.
REFSK	T23	Times No. 23 Determinantion of CYP1A-dependent mono-oxygenase activity in dab by fluorimetric measurement of EROD activity	Times No. 23 Determinantion of CYP1A-dependent mono-oxygenase activity in dab by fluorimetric measurement of EROD activity
REFSK	T24	Times No. 24 Use of imposex in the dogwhelk (Nucella lapillus) as a bioindicator of tributyltin (TBT) pollution	Times No. 24 Use of imposex in the dogwhelk (Nucella lapillus) as a bioindicator of tributyltin (TBT) pollution
REFSK	T25	Times No. 25 Measurement of DNA adducts in fish by 32P-postlabelling	Times No. 25 Measurement of DNA adducts in fish by 32P-postlabelling
REFSK	T26	Times No. 26 Quantification of metallothionein (MT) in fish liver tissue	Times No. 26 Quantification of metallothionein (MT) in fish liver tissue
REFSK	T27	Times No. 27 Soft bottom macrofauna: Collection, treatment, and quality assurance of samples	Times No. 27 Soft bottom macrofauna: Collection, treatment, and quality assurance of samples
REFSK	T28	Times No. 28 Corophium sp. sediment bioassy & toxicity test	Times No. 28 Corophium sp. sediment bioassy & toxicity test
REFSK	T29	Times No. 29 Sediment bioassy using the polychaete Arenicola marina	Times No. 29 Sediment bioassy using the polychaete Arenicola marina
REFSK	T3	Times No. 3 Cadmium in marine sediments: determination by graphite furnace atomic absorption spectroscopy.	Times No. 3 Cadmium in marine sediments: determination by graphite furnace atomic absorption spectroscopy.
REFSK	T30	Times No. 30 Chlorophyll a: Determination by spectroscopic methods.	Times No. 30 Chlorophyll a: Determination by spectroscopic methods.
REFSK	T31	Times No. 31 Biological effects of contaminants: Radioimmunoassay (RIA) and enzyme-linked immunosorbent assay (ELISA) techniques for the measurement of marine fish vitellogenins.	Times No. 31 Biological effects of contaminants: Radioimmunoassay (RIA) and enzyme-linked immunosorbent assay (ELISA) techniques for the measurement of marine fish vitellogenins.
REFSK	T32	Times No. 32 Guidelines on Quality Assurance of Chemical Measurements in the Baltic Sea	Times No. 32 Guidelines on Quality Assurance of Chemical Measurements in the Baltic Sea
REFSK	T33	Times No. 33 Guidelines on Quality Assurance of Biological Measurements	Times No. 33 Guidelines on Quality Assurance of Biological Measurements
REFSK	T34	Times No. 34 Biological effects of contaminants: quantification of -aminolevulinic acid dehydratase (ALA-D) activity in fish blood	Times No. 34 Biological effects of contaminants: quantification of -aminolevulinic acid dehydratase (ALA-D) activity in fish blood
REFSK	T35	Times No. 35 Measurement of lysosomal membrane stability in selected marine organisms	Times No. 35 Measurement of lysosomal membrane stability in selected marine organisms
REFSK	T36	Times No. 36 Biological effects of contaminants: Use of intersex in the periwinkle (Littorina littorea) as a biomarker of tributyltin pollution	Times No. 36 Biological effects of contaminants: Use of intersex in the periwinkle (Littorina littorea) as a biomarker of tributyltin pollution
REFSK	T37	Times No. 37 Manual on precision and accuracy of tools in recruitment studies	Times No. 37 Manual on precision and accuracy of tools in recruitment studies
REFSK	T38	Times No. 38 Use of Liver Pathology of Flatfish for Monitoring Biological Effects of Contaminants	Times No. 38 Use of Liver Pathology of Flatfish for Monitoring Biological Effects of Contaminants
REFSK	T4	Times No. 4 Lipophilic organic material: an apparatus for extracting solids used for their concentration from sea water.	Times No. 4 Lipophilic organic material: an apparatus for extracting solids used for their concentration from sea water.
REFSK	T5	Times No. 5 Primary production: guidelines for measurement by 14C incorporation.	Times No. 5 Primary production: guidelines for measurement by 14C incorporation.
REFSK	T7	Times No. 7 Suspended particulate matter: collection methods for gravimetric and trace metal analysis	Times No. 7 Suspended particulate matter: collection methods for gravimetric and trace metal analysis
REFSK	T8	Times No. 8 Soft bottom macrofauna: collection and treatment of samples.	Times No. 8 Soft bottom macrofauna: collection and treatment of samples.
REFSK	T9	Times No. 9 Sediments and suspended particulate matter: total and partial methods of digestion	Times No. 9 Sediments and suspended particulate matter: total and partial methods of digestion
RLIST	DYNTAXA	Vetenskapligt namn enligt Artdatabankens databas Dyntaxa. OBS! används endast om namn saknas i datavärdens artlistor.	Sientific name according to Artdatabankens database Dyntaxa. Is only used if name is missing in datahost species list.
RLIST	ER	Vetenskapligt namn enligt ERMS/WoRMS. OBS! används endast om namn saknas i datavärdens artlistor.	Sientific name according to ERMS/WoRMS. Is only used if name is missing in datahost species list.
RLIST	ITLN	Vetenskapligt namn enligt ITIS. OBS! används endast om namn saknas i datavärdens artlistor.	Sientific name according to ITIS. Is only used if name is missing in datahost species list.
SEXCODE	F	Female	Female
SEXCODE	H	Hermaphrodite	Hermaphrodite
SEXCODE	I	Immature	Immature
SEXCODE	M	Male	Male
SEXCODE	U	Undetermined	Undetermined
SEXCODE	X	Mixed	Mixed
SFLAG	CEN	Centrales - diatoms only	Centrales - diatoms only
SFLAG	CF	Resemblance to the taxon named but not certain	Resemblance to the taxon named but not certain
SFLAG	CPX	Complex - more than one genus	Complex - more than one genus
SFLAG	CR	Crusta - calcarious crust algae	Crusta - calcarious crust algae
SFLAG	CT	Crusta - cartilagineous crust algae	Crusta - cartilagineous crust algae
SFLAG	CN	Crusta - not specified	Crusta - not specified
SFLAG	FC	Filamentous - coarse (algae)	Filamentous - coarse (algae)
SFLAG	FF	Filamentous - fine (algae)	Filamentous - fine (algae)
SFLAG	GRP	Group - any species within the described genus resembling by form and size the described species (PEG)	Group - any species within the described genus resembling by form and size the described species (PEG)
SFLAG	INDET	Obestämd till lägre nivå. Okänt om en eller flera taxa på lägre nivå, dvs vet ej om SP eller SPP.	Obestämd till lägre nivå. Okänt om en eller flera taxa på lägre nivå, dvs vet ej om SP eller SPP.
SFLAG	NK	Naked - dinoflagellates only	Naked - dinoflagellates only
SFLAG	PEN	Pennales - diatoms only	Pennales - diatoms only
SFLAG	SH-E	Shape described as ellipsoid	Shape described as ellipsoid
SFLAG	SH-O	Shape described as oval	Shape described as oval
SFLAG	SH-R	Shape described as round	Shape described as round
SFLAG	SH-S	Shape described as sphere	Shape described as sphere
SFLAG	SP	One species is included under this name	One species is included under this name
SFLAG	SPP	Several species are included under this name	Several species are included under this name
SFLAG	SPP-1	Several species are included under this name in one sample and this is the first species	Several species are included under this name in one sample and this is the first species
SFLAG	SPP-2	Several species are included under this name in one sample and this is the second species	Several species are included under this name in one sample and this is the second species
SFLAG	SPP-3	Several species are included under this name in one sample and this is the third species	Several species are included under this name in one sample and this is the third species
SFLAG	SPP-4	Several species are included under this name in one sample and this is the fourth species	Several species are included under this name in one sample and this is the fourth species
SFLAG	TH	Thecate - dinoflagellates only	Thecate - dinoflagellates only
SFLAG	UA	Unattached organism	Unattached organism
SFLAG	UN	Unknown	Unknown
SHIPC	7719	Supplier (SMHI)	Supplier (SMHI)
SHIPC	7740	Coast Guard Vessels (SMHI)	Coast Guard Vessels (SMHI)
SHIPC	7768	Andrea (SMHI)	Andrea (SMHI)
SHIPC	7774	Scoter (SMHI)	Scoter (SMHI)
SHIPC	7775	Sigurd Golje (SMHI)	Sigurd Golje (SMHI)
SHIPC	7780	SMHI-Aranda (SMHI)	SMHI-Aranda (SMHI)
SHIPC	7782	Farstugrunden (SMHI)	Farstugrunden (SMHI)
SHIPC	7783	Bohuskust-8689 (SMHI)	Bohuskust-8689 (SMHI)
SHIPC	7784	Brofjorden (SMHI)	Brofjorden (SMHI)
SHIPC	7785	Läsö Nord/Trindel (SMHI)	Läsö Nord/Trindel (SMHI)
SHIPC	7786	Swedish-USSR Expeditions (SMHI)	Swedish-USSR Expeditions (SMHI)
SHIPC	7788	Trindeln (SMHI)	Trindeln (SMHI)
SHIPC	7790	MULTIPLE SHIPS (ICES)	MULTIPLE SHIPS (ICES)
SHIPC	7791	UMF 001 (SMHI)	UMF 001 (SMHI)
SHIPC	7792	UMF 206 (Track vehicle) (SMHI)	UMF 206 (Track vehicle) (SMHI)
SHIPC	7796	SLV (SMHI)	SLV (SMHI)
SHIPC	7797	Nya Varvet (SMHI)	Nya Varvet (SMHI)
SHIPC	7798	Ship of Opportunity (SMHI)	Ship of Opportunity (SMHI)
SHIPC	7799	UNKNOWN (ICES)	UNKNOWN (ICES)
SHIPC	26DA	Dana (ICES)	Dana (ICES)
SHIPC	34AR	Aranda (ICES)	Aranda (ICES)
SHIPC	347V	MERI (ICES)	MERI (ICES)
SHIPC	34EB	AURI (ICES)	AURI (ICES)
SHIPC	771A	SYGIN (ICES)	SYGIN (ICES)
SHIPC	773A	ANTARCTIC (ICES)	ANTARCTIC (ICES)
SHIPC	77A2	ANTARCTIC (ICES)	ANTARCTIC (ICES)
SHIPC	77AA	Atle (ICES)	Atle (ICES)
SHIPC	77AB	ALBANIA (ICES)	ALBANIA (ICES)
SHIPC	77AC	ANNIE JOHNSON (ICES)	ANNIE JOHNSON (ICES)
SHIPC	77AD	ANTONIA JOHNSON (ICES)	ANTONIA JOHNSON (ICES)
SHIPC	77AE	AXEL JOHNSON (ICES)	AXEL JOHNSON (ICES)
SHIPC	58CO	COLOR FANTASY (ICES)	COLOR FANTASY (ICES)
SHIPC	77AF	MARGARET JOHNSON (ICES)	MARGARET JOHNSON (ICES)
SHIPC	77AG	AGNE (ICES)	AGNE (ICES)
SHIPC	77AH	ERONA (ICES)	ERONA (ICES)
SHIPC	77AI	SAN FRANCISCO (ICES)	SAN FRANCISCO (ICES)
SHIPC	77AJ	SAXEN (ICES)	SAXEN (ICES)
SHIPC	77AK	TV04 (ICES)	TV04 (ICES)
SHIPC	77AL	ALBATROSS (ICES)	ALBATROSS (ICES)
SHIPC	77AM	TV044 (ICES)	TV044 (ICES)
SHIPC	77AN	TV103 (ICES)	TV103 (ICES)
SHIPC	77AO	ARCONA (ICES)	ARCONA (ICES)
SHIPC	77AP	TV105 (ICES)	TV105 (ICES)
SHIPC	77AQ	TV171 (ICES)	TV171 (ICES)
SHIPC	77AR	ARGOS (ICES)	ARGOS (ICES)
SHIPC	77AS	TV227 (ICES)	TV227 (ICES)
SHIPC	77AT	TV241 (ICES)	TV241 (ICES)
SHIPC	77AU	TV243 (ICES)	TV243 (ICES)
SHIPC	77AV	TV245 (ICES)	TV245 (ICES)
SHIPC	77AW	TV246 (ICES)	TV246 (ICES)
SHIPC	77AX	TV248 (ICES)	TV248 (ICES)
SHIPC	77AY	TV249 (ICES)	TV249 (ICES)
SHIPC	77AZ	TV257 (ICES)	TV257 (ICES)
SHIPC	77BA	TV260 (ICES)	TV260 (ICES)
SHIPC	77BB	TV271 (ICES)	TV271 (ICES)
SHIPC	77BC	TV273 (ICES)	TV273 (ICES)
SHIPC	77BD	TV274 (ICES)	TV274 (ICES)
SHIPC	77BE	TV276 (ICES)	TV276 (ICES)
SHIPC	77BF	TV278 (ICES)	TV278 (ICES)
SHIPC	77BG	TV281 (ICES)	TV281 (ICES)
SHIPC	77BH	TV282 (ICES)	TV282 (ICES)
SHIPC	77BI	TV283 (ICES)	TV283 (ICES)
SHIPC	77BJ	TV03 (ICES)	TV03 (ICES)
SHIPC	77BK	NORLAND (ICES)	NORLAND (ICES)
SHIPC	77BL	TV258 (ICES)	TV258 (ICES)
SHIPC	77BM	TV255 (ICES)	TV255 (ICES)
SHIPC	77BN	TV101 (ICES)	TV101 (ICES)
SHIPC	77BO	Bornö (ICES)	Bornö (ICES)
SHIPC	77BP	ELGAREN (ICES)	ELGAREN (ICES)
SHIPC	77BQ	TV259 (ICES)	TV259 (ICES)
SHIPC	77BR	TV254 (ICES)	TV254 (ICES)
SHIPC	77BS	ATLANTIC CINDERELLA (ICES)	ATLANTIC CINDERELLA (ICES)
SHIPC	77BT	GAASSTEN (ICES)	GAASSTEN (ICES)
SHIPC	77BU	SJOLLEN (ICES)	SJOLLEN (ICES)
SHIPC	77BV	RIGOLETTO (ICES)	RIGOLETTO (ICES)
SHIPC	77BW	DAG SKAER (ICES)	DAG SKAER (ICES)
SHIPC	77BX	STOVE TRADER (ICES)	STOVE TRADER (ICES)
SHIPC	77BY	BARKEN (ICES)	BARKEN (ICES)
SHIPC	77BZ	BELLATRIX (ICES)	BELLATRIX (ICES)
SHIPC	77CA	TV01 (ICES)	TV01 (ICES)
SHIPC	77CB	Arne Tiselius (ICES)	Arne Tiselius (ICES)
SHIPC	77CR	OSCAR II (ICES)	OSCAR II (ICES)
SHIPC	77DA	DAN BROSTROEM (ICES)	DAN BROSTROEM (ICES)
SHIPC	77DN	Oden (ICES)	Oden (ICES)
SHIPC	77DY	DYNEKIL (ICES)	DYNEKIL (ICES)
SHIPC	77EL	ELISA	ELISA
SHIPC	77ES	Esox (ICES)	Esox (ICES)
SHIPC	77ET	BETTY (ICES)	BETTY (ICES)
SHIPC	77EX	Inger Express (ICES)	Inger Express (ICES)
SHIPC	77EY	Eystrasalt (ICES)	Eystrasalt (ICES)
SHIPC	77F1	TOR FLANDRIA (ICES)	TOR FLANDRIA (ICES)
SHIPC	77F2	TOR SELANDIA (ICES)	TOR SELANDIA (ICES)
SHIPC	77FA	FALSTERBOREV (ICES)	FALSTERBOREV (ICES)
SHIPC	77FI	FINNGRUNDET (ICES)	FINNGRUNDET (ICES)
SHIPC	77FK	Franklin (ICES)	Franklin (ICES)
SHIPC	77FL	Fladen fyrskepp (ICES)	Fladen fyrskepp (ICES)
SHIPC	77FR	Frej (ICES)	Frej (ICES)
SHIPC	77FS	FIXED STATIONS (ICES)	FIXED STATIONS (ICES)
SHIPC	77FY	Fyrbyggaren (ICES)	Fyrbyggaren (ICES)
SHIPC	77GA	Gråsuggan (ICES)	Gråsuggan (ICES)
SHIPC	77GI	Grisbadarne (ICES)	Grisbadarne (ICES)
SHIPC	77GL	GLADAN (ICES)	GLADAN (ICES)
SHIPC	77GR	GRUNDKALLEN (ICES)	GRUNDKALLEN (ICES)
SHIPC	77HA	HATTAN (ICES)	HATTAN (ICES)
SHIPC	77HL	HELLIG OLAV (ICES)	HELLIG OLAV (ICES)
SHIPC	77HN	HANNA (ICES)	HANNA (ICES)
SHIPC	77HP	Helicopter (ICES)	Helicopter (ICES)
SHIPC	77HR	HAVRINGE (ICES)	HAVRINGE (ICES)
SHIPC	77HV	H. M. VEKSTADSFARTYG (ICES)	H. M. VEKSTADSFARTYG (ICES)
SHIPC	77IC	ALICE (ICES)	ALICE (ICES)
SHIPC	77JJ	JO-JO II (ICES)	JO-JO II (ICES)
SHIPC	77K1	KBV102 (ICES)	KBV102 (ICES)
SHIPC	77K2	KBV592 (Hovercraft) (ICES)	KBV592 (Hovercraft) (ICES)
SHIPC	77K3	KBV290 (ICES)	KBV290 (ICES)
SHIPC	77K4	KBV04 (ICES)	KBV04 (ICES)
SHIPC	77K5	KBV005 (ICES)	KBV005 (ICES)
SHIPC	77K6	KBV010 (ICES)	KBV010 (ICES)
SHIPC	77K7	KBV046 (ICES)	KBV046 (ICES)
SHIPC	77K8	KBV105 (ICES)	KBV105 (ICES)
SHIPC	77K9	KBV181 (ICES)	KBV181 (ICES)
SHIPC	77KA	KBV047 (ICES)	KBV047 (ICES)
SHIPC	77KB	KBV 001 Poseidon (ICES)	KBV 001 Poseidon (ICES)
SHIPC	77KC	KBV 002 Triton (ICES)	KBV 002 Triton (ICES)
SHIPC	77KD	KBV590 (Hovercraft) (ICES)	KBV590 (Hovercraft) (ICES)
SHIPC	77KG	KALKGRUNDET (ICES)	KALKGRUNDET (ICES)
SHIPC	77KL	UTKLIPPAN (ICES)	UTKLIPPAN (ICES)
SHIPC	77KO	KOPPARSTENARNA (ICES)	KOPPARSTENARNA (ICES)
SHIPC	77LA	Limanda (ICES)	Limanda (ICES)
SHIPC	77LE	BLENDA (ICES)	BLENDA (ICES)
SHIPC	77LN	LANDSORT (ICES)	LANDSORT (ICES)
SHIPC	77LS	Belos (ICES)	Belos (ICES)
SHIPC	77LT	Baltica (ICES)	Baltica (ICES)
SHIPC	77LY	Lotty (ICES)	Lotty (ICES)
SHIPC	77MO	MORILD (ICES)	MORILD (ICES)
SHIPC	77MW	Moonshadow (ICES)	Moonshadow (ICES)
SHIPC	77MP	M/V Performer (SMHI)	M/V Performer (SMHI)
SHIPC	77NC	Ancylus (ICES)	Ancylus (ICES)
SHIPC	77NE	Nereus (ICES)	Nereus (ICES)
SHIPC	77NJ	NJORD (ICES)	NJORD (ICES)
SHIPC	77NP	NEPTUNUS AF TAEBY (ICES)	NEPTUNUS AF TAEBY (ICES)
SHIPC	77NS	KBV201 (ICES)	KBV201 (ICES)
SHIPC	77NT	ANHOLT (ICES)	ANHOLT (ICES)
SHIPC	77NV	Naval Vessels (ICES)	Naval Vessels (ICES)
SHIPC	77ON	ORION (ICES)	ORION (ICES)
SHIPC	77OR	Olands Rev (ICES)	Olands Rev (ICES)
SHIPC	77OS	OSKARSGRUNDET (ICES)	OSKARSGRUNDET (ICES)
SHIPC	77PA	PARALLA (ICES)	PARALLA (ICES)
SHIPC	77PN	PATER NOSTER (ICES)	PATER NOSTER (ICES)
SHIPC	77RA	RIMBAUD (ICES)	RIMBAUD (ICES)
SHIPC	77RN	RAN (ICES)	RAN (ICES)
SHIPC	77SA	Scandica (ICES)	Scandica (ICES)
SHIPC	77SB	SVINBADAN (ICES)	SVINBADAN (ICES)
SHIPC	77SC	Svanic (ICES)	Svanic (ICES)
SHIPC	77SG	SKAGGALD (ICES)	SKAGGALD (ICES)
SHIPC	77SH	SHUTTLE KARLSTAD (ICES)	SHUTTLE KARLSTAD (ICES)
SHIPC	77SI	Sensorita (ICES)	Sensorita (ICES)
SHIPC	77SK	Skagerak (ICES)	Skagerak (ICES)
SHIPC	77SL	Sabella (ICES)	Sabella (ICES)
SHIPC	77SN	Sensor (ICES)	Sensor (ICES)
SHIPC	77SP	SUPPLIER (ICES)	SUPPLIER (ICES)
SHIPC	77SR	SEGERO (ICES)	SEGERO (ICES)
SHIPC	77SS	SVENSKUND (ICES)	SVENSKUND (ICES)
SHIPC	77ST	Sea Terrier (ICES)	Sea Terrier (ICES)
SHIPC	77SU	Ocean Surveyor (ICES)	Ocean Surveyor (ICES)
SHIPC	77SV	SVENSKA BJORN (ICES)	SVENSKA BJORN (ICES)
SHIPC	77SY	SYDOSBROTTEN (ICES)	SYDOSBROTTEN (ICES)
SHIPC	77SX	Scoter BD-län (SMHI)	Scoter BD-län (SMHI)
SHIPC	77SZ	Swedish Vessels (SMHI)	Swedish Vessels (SMHI)
SHIPC	77T1	TV102 (ICES)	TV102 (ICES)
SHIPC	77T2	TV256 (ICES)	TV256 (ICES)
SHIPC	77T3	TV253 (ICES)	TV253 (ICES)
SHIPC	77T4	TV244 (ICES)	TV244 (ICES)
SHIPC	77T5	TV116 (ICES)	TV116 (ICES)
SHIPC	77T6	TV 216 (ICES)	TV 216 (ICES)
SHIPC	77T7	TV277 (ICES)	TV277 (ICES)
SHIPC	77T8	TV172 (ICES)	TV172 (ICES)
SHIPC	77T9	TV284 (ICES)	TV284 (ICES)
SHIPC	77TA	Tändaren (ICES)	Tändaren (ICES)
SHIPC	77TH	Thetis (ICES)	Thetis (ICES)
SHIPC	77TI	Triad (ICES)	Triad (ICES)
SHIPC	77TP	Transpaper (ICES)	Transpaper (ICES)
SHIPC	77TR	Tor (ICES)	Tor (ICES)
SHIPC	77TV	TV252 (ICES)	TV252 (ICES)
SHIPC	77UA	Ulla Rinman (ICES)	Ulla Rinman (ICES)
SHIPC	77UR	Aurelia (ICES)	Aurelia (ICES)
SHIPC	77UT	Norrbylabb (ICES)	Norrbylabb (ICES)
SHIPC	77V2	TV285 (ICES)	TV285 (ICES)
SHIPC	77V3	TV287 (ICES)	TV287 (ICES)
SHIPC	77VA	Vidar (ICES)	Vidar (ICES)
SHIPC	77VB	VARBERG (ICES)	VARBERG (ICES)
SHIPC	77VD	VADEROBOD (ICES)	VADEROBOD (ICES)
SHIPC	77VE	VEGA (ICES)	VEGA (ICES)
SHIPC	77VI	VINGA (ICES)	VINGA (ICES)
SHIPC	77VS	Oscar von Sydow (ICES)	Oscar von Sydow (ICES)
SHIPC	77VV	VI (ICES)	VI (ICES)
SHIPC	77WX	Electra af Asko (ICES)	Electra af Asko (ICES)
SHIPC	77XV	R/V Botnica (ICES)	R/V Botnica (ICES)
SHIPC	77YM	Ymer (ICES)	Ymer (ICES)
SIZRF	PEG_BVOL2007	Biovolymer och storleksklasser av växtplankton i Östersjön - 2007 version	Biovolumes and Size-classes of Phytoplankton in the Baltic Sea - 2007 version
SIZRF	PEG_BVOL2008	Biovolymer och storleksklasser av växtplankton i Östersjön - 2008 version	Biovolumes and Size-classes of Phytoplankton in the Baltic Sea - 2008 version
